SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
17h45m36.82s -29d01m14.19s,0.203,172.9077,Minkowskian Baseline,2.82,MATCH: CXOGC J174536.8-290117 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m42.88s -29d00m49.43s,0.2129,0.1595,Minkowskian Baseline,3.04,MATCH: CXOGC J174543.1-290049 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m36.29s -29d00m42.60s,0.1983,0.4232,Minkowskian Baseline,1.1,MATCH: [MKN2009] 582 (LP*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m43.37s -29d00m10.80s,0.4296,98.4878,Trefoil Metric Schema,1.33,MATCH: [BSD96] 138 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m37.36s -29d00m54.03s,0.4719,12.3596,Metric Spacetime Anomaly,2.35,MATCH: [FJ95] 12 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m42.34s -29d00m23.30s,0.2322,140.8205,Gasious Substrate Schema,3.59,MATCH: [FNS2015] 1552 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m39.35s -29d00m20.50s,0.3374,34.7488,Helical Metric Schema,0.24,MATCH: MPE -8.7+01.8 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m44.08s -29d01m11.23s,0.5082,81.2736,Metric Spacetime Anomaly,4.36,MATCH: CXOGC J174543.9-290107 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m35.09s -28d59m46.17s,0.1951,19.552,Minkowskian Baseline,6.87,MATCH: CXOGC J174535.5-285941 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m36.47s -29d01m12.61s,0.3728,62.9371,Trefoil Metric Schema,1.78,MATCH: CXOGC J174536.3-290111 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m44.17s -29d00m25.42s,0.5776,119.1365,Metric Spacetime Anomaly,1.69,MATCH: [PDT2018] G359.953-00.059 (smm),,,,,,,-,RADIO/SUB-MM,Metric Spacetime Anomaly,
17h45m41.45s -28d59m39.89s,0.3044,435.7686,Solenoidal Metric Schema (Iron),0.56,MATCH: [MES2015] 1367 (smm),,,,,,,-,RADIO/SUB-MM,Solenoidal Metric Schema (Iron),
17h45m38.51s -29d00m50.70s,0.3773,154.0539,Trefoil Metric Schema,0.48,MATCH: [FNS2015] 1207 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m41.87s -29d00m22.90s,0.4869,0.8107,Metric Spacetime Anomaly,0.7,MATCH: [FNS2015] 3290 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m41.08s -29d01m43.21s,0.4237,41.8838,Trefoil Metric Schema,4.93,MATCH: CXOGC J174540.7-290141 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m37.94s -28d59m22.98s,0.4631,0.3053,Metric Spacetime Anomaly,3.5,MATCH: OH 359.955-00.031 (OH*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h45m38.29s -28d59m56.09s,0.3634,375.3491,Trefoil Metric Schema,3.1,MATCH: [BSD96]  14 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m41.21s -28d59m17.60s,0.4933,221.2975,Metric Spacetime Anomaly,4.05,MATCH: [NS2013] 59 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m42.15s -29d01m05.69s,0.5019,68.7935,Metric Spacetime Anomaly,4.99,MATCH: [BSD96] 199 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m45.06s -29d00m39.19s,0.6014,132.6654,Metric Spacetime Anomaly,4.72,MATCH: CXOGC J174544.6-290039 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m40.64s -29d00m48.48s,0.3376,74.1989,Helical Metric Schema,1.38,MATCH: [BSD96]  99 (*),,,,,,,⚠ LENS CANDIDATE,VARIABLE STAR,Helical Metric Schema,
17h45m42.75s -29d00m01.17s,1.3564,30.966,Metric Spacetime Anomaly,3.55,MATCH: GCIRS 23 (OH*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h45m38.98s -29d00m52.15s,0.2633,324.2122,Gasious Substrate Schema,1.95,MATCH: CXOU J174539.1-290053 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m40.00s -29d01m15.10s,1.1728,4.9571,Baryonic Metric Substrate,4.4,MATCH: [BSD96] 180 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
17h45m41.06s -29d00m59.81s,0.1778,252.0982,Minkowskian Baseline,2.98,MATCH: NAME GCT (Rad),,,,,,,-,RADIO/SUB-MM,Minkowskian Baseline,
17h45m36.63s -29d00m09.26s,0.1863,97.3203,Minkowskian Baseline,1.15,MATCH: CXOGC J174536.5-290010 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m40.17s -29d01m30.93s,0.3933,159.3883,Trefoil Metric Schema,5.15,MATCH: CXOU J174540.1-290125 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m35.09s -29d00m38.31s,0.2128,21.6268,Minkowskian Baseline,3.46,MATCH: CXOGC J174534.8-290040 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m42.10s -28d59m50.87s,0.4202,32.0698,Trefoil Metric Schema,3.94,MATCH: [BSD96] 124 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m35.98s -28d59m51.73s,0.5568,21.2975,Metric Spacetime Anomaly,0.8,MATCH: SSTGC 514262 (LP*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m41.32s -29d00m34.50s,0.1973,9.9292,Minkowskian Baseline,0.19,MATCH: [FNS2015] 741 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m39.06s -29d00m18.72s,0.3971,73.4566,Trefoil Metric Schema,2.24,MATCH: [YRW2013] 27 (out),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m37.73s -29d00m05.52s,0.2388,36.8072,Gasious Substrate Schema,2.57,MATCH: [BSD96] 155 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.17s -28d59m59.34s,0.2722,183.7834,Gasious Substrate Schema,1.74,MATCH: CXOGC J174536.3-285959 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m39.63s -29d00m18.19s,0.2719,14.3269,Gasious Substrate Schema,0.39,MATCH: [GKM98] S11-15 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m35.08s -28d59m53.19s,0.3802,92.4467,Trefoil Metric Schema,7.41,MATCH: CXOGC J174534.4-285951 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m43.33s -29d01m22.43s,0.2689,30.3272,Gasious Substrate Schema,3,MATCH: [MKN2009] 687 (LP*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m41.16s -29d00m57.83s,1.2523,40.3961,Metric Spacetime Anomaly,0.83,MATCH: [MES2015] 1353 (smm),,,,,,,-,RADIO/SUB-MM,Metric Spacetime Anomaly,
17h45m40.39s -28d59m55.35s,0.3971,12.7069,Trefoil Metric Schema,0.72,MATCH: [FNS2015] 450 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m38.68s -28d59m52.17s,0.3879,24.0097,Trefoil Metric Schema,0.81,MATCH: CXOGC J174538.6-285952 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m41.21s -29d00m41.32s,0.237,253.7152,Localized Torsional Inflection,1.17,MATCH: [FNS2015] 1060 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m41.63s -28d59m55.52s,0.3363,92.6364,Helical Metric Schema,2.59,MATCH: [BSD96] 117 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m37.48s -28d59m53.82s,0.2623,36.9507,Gasious Substrate Schema,1.97,MATCH: [MES2015] 1357 (smm),,,,,,,-,RADIO/SUB-MM,Gasious Substrate Schema,
17h45m39.48s -29d00m08.40s,0.2959,37.583,Solenoidal Metric Schema (Iron),0.29,MATCH: [NS2013] 34 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m40.02s -29d01m39.40s,0.197,187.0261,Minkowskian Baseline,4.53,MATCH: 1LC 359.927-0.055 (Rad),,,,,,,-,RADIO/SUB-MM,Minkowskian Baseline,
17h45m37.68s -29d00m52.87s,0.6005,108.6473,Metric Spacetime Anomaly,2.85,MATCH: [BSD96] 159 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m42.00s -28d59m35.14s,0.4522,187.0829,Metric Spacetime Anomaly,4.94,MATCH: CXOU J174541.6-285933 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m40.21s -29d01m17.29s,0.8485,39.5349,Baryonic Metric Substrate,6.92,MATCH: CXOGC J174540.7-290115 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
17h45m42.14s -29d01m05.51s,0.2456,1020.0672,Localized Torsional Inflection,4.88,MATCH: [BSD96] 199 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m38.63s -29d01m36.43s,0.4388,73.8561,Trefoil Metric Schema,0.62,MATCH: [NS2013] 58 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m36.81s -29d00m49.82s,0.2469,17.9322,Gasious Substrate Schema,2.01,MATCH: [MBB2008] G359.933-0.039 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m41.54s -28d59m41.21s,0.2438,151.9029,Gasious Substrate Schema,2.19,MATCH: [MES2015] 1367 (smm),,,,,,,-,RADIO/SUB-MM,Gasious Substrate Schema,
17h45m41.03s -29d00m55.24s,0.4112,232.4624,Trefoil Metric Schema,1.25,MATCH: CXOGC J174540.9-290056 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m38.45s -29d01m41.53s,0.2999,88.9543,Solenoidal Metric Schema (Iron),2.43,MATCH: CXOGC J174538.6-290142 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m38.70s -29d00m48.60s,0.5544,339.2207,Localized Torsional Inflection,1.43,MATCH: [FNS2015] 1826 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m34.91s -29d00m37.90s,0.4082,96.286,Trefoil Metric Schema,2.53,MATCH: CXOGC J174534.8-290040 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m41.92s -29d00m26.70s,0.1942,532.1064,Minkowskian Baseline,0.36,MATCH: [FNS2015] 751 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m38.96s -29d00m58.39s,0.2461,66.8931,Gasious Substrate Schema,0.32,MATCH: 2MASS J17453893-2900584 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m39.56s -28d59m36.70s,0.2828,55.8362,Solenoidal Metric Schema (Iron),1.55,MATCH: SSTGC 523937 (LP*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m37.75s -29d00m48.24s,0.462,120.855,Metric Spacetime Anomaly,0.7,MATCH: [FNS2015] 606 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m44.27s -28d59m59.50s,0.3977,0.439,Trefoil Metric Schema,2.41,MATCH: CXOGC J174544.4-290001 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m44.83s -29d00m09.65s,0.4268,32.7158,Trefoil Metric Schema,0.3,MATCH: [BSD96] 214 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m42.75s -29d00m01.71s,0.3825,7.5908,Trefoil Metric Schema,4.08,MATCH: GCIRS 23 (OH*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h45m39.51s -28d59m45.01s,0.3083,27.2164,Solenoidal Metric Schema (Iron),2.18,MATCH: [BSD96] 176 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m37.15s -29d01m32.11s,0.5235,76.5426,Metric Spacetime Anomaly,4.88,MATCH: CXOGC J174536.8-290135 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m37.25s -29d00m00.34s,0.2743,75.2451,Gasious Substrate Schema,5.09,MATCH: CXOGC J174537.0-285955 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m39.20s -28d59m54.02s,0.6253,80.6732,Metric Spacetime Anomaly,3.18,MATCH: CXOGC J174539.0-285956 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m39.99s -28d59m28.66s,0.4333,3.4921,Trefoil Metric Schema,2.14,MATCH: [FJ95] 47 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m37.69s -29d01m28.87s,0.3093,0.5483,Solenoidal Metric Schema (Iron),2.25,MATCH: CXOGC J174537.7-290130 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m35.36s -29d00m04.67s,0.1492,277.0822,Minkowskian Baseline,3.3,MATCH: SSTGC 512700 (Mi*),,,,,,,⚠ LENS CANDIDATE,VARIABLE STAR,Minkowskian Baseline,
17h45m39.37s -28d59m29.52s,0.2485,1.6732,Gasious Substrate Schema,3.94,MATCH: CXOGC J174539.0-285929 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m38.52s -29d00m43.75s,0.4375,31.4914,Trefoil Metric Schema,1.39,MATCH: CXOU J174538.4-290044 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m42.15s -29d01m03.18s,0.2424,24.9407,Gasious Substrate Schema,2.86,MATCH: [BSD96] 199 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m35.91s -28d59m39.95s,0.5567,127.7117,Metric Spacetime Anomaly,3.86,MATCH: [MES2015] 1359 (smm),,,,,,,-,RADIO/SUB-MM,Metric Spacetime Anomaly,
17h45m37.09s -28d59m52.81s,0.3845,51.4024,Localized Torsional Inflection,3.11,MATCH: CXOGC J174537.0-285955 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
17h45m36.22s -29d00m32.44s,0.3329,40.147,Helical Metric Schema,2.26,MATCH: CXOGC J174536.3-290030 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
17h45m39.80s -28d59m58.17s,0.2449,14.7322,Gasious Substrate Schema,0.89,MATCH: [FNS2015] 1908 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m38.90s -29d00m31.17s,0.1828,239.6451,Minkowskian Baseline,0.3,MATCH: [FNS2015] 1614 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m42.88s -29d01m05.08s,0.227,23.678,Gasious Substrate Schema,0.02,MATCH: [BSD96] 202 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m41.21s -28d59m32.55s,0.3044,5.7566,Solenoidal Metric Schema (Iron),2.6,MATCH: CXOU J174541.2-285929 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m40.29s -28d59m42.48s,0.2726,27.5648,Gasious Substrate Schema,1.49,MATCH: OH 359.955-00.040 (Mas),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m37.54s -28d59m46.55s,0.5499,520.8985,Localized Torsional Inflection,1.32,MATCH: [NS2013] 51 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m41.58s -29d00m50.62s,0.4257,29.3936,Trefoil Metric Schema,4.07,MATCH: [BSD96] 119 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m41.74s -29d00m50.27s,0.2663,279.4146,Localized Torsional Inflection,2.49,MATCH: OH 359.943-00.055 (OH?),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h45m40.86s -28d59m21.56s,0.2314,15.9915,Gasious Substrate Schema,6.46,MATCH: OH 359.960-00.037 (Mas),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m42.57s -28d59m47.76s,0.7372,108.2085,Metric Spacetime Anomaly,3.96,MATCH: [BSD96] 124 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m36.23s -29d00m36.59s,0.2655,4.3072,Gasious Substrate Schema,0.39,MATCH: CXOGC J174536.2-290036 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m37.68s -29d01m35.97s,0.1937,36.4539,Minkowskian Baseline,2.17,MATCH: CXOGC J174537.7-290134 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m37.20s -29d01m28.39s,0.216,30.8018,Minkowskian Baseline,2.38,MATCH: CXOGC J174537.2-290126 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m43.52s -29d00m44.95s,0.206,234.091,Minkowskian Baseline,2.11,MATCH: CXOGC J174543.6-290044 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m36.36s -29d01m18.41s,0.2549,70.5322,Gasious Substrate Schema,4.11,MATCH: CXOGC J174536.4-290114 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m35.21s -29d01m17.38s,1.3561,344.7017,Metric Spacetime Anomaly,1.5,MATCH: HIGALBM G359.9237-00.0384 (smm),,,,,,,-,RADIO/SUB-MM,Metric Spacetime Anomaly,
17h45m41.52s -29d00m48.00s,0.2494,56.0235,Gasious Substrate Schema,3.23,MATCH: [BSD96] 119 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m37.34s -28d59m44.30s,0.2252,22.6645,Gasious Substrate Schema,4.78,MATCH: [NS2013] 51 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.17s -29d00m16.03s,0.2507,7.3577,Gasious Substrate Schema,2.01,MATCH: [FJ95] 39 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m42.14s -28d59m49.31s,0.1821,255.0126,Minkowskian Baseline,3.82,MATCH: [BSD96] 124 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m37.10s -28d59m54.17s,0.3843,99.3284,Trefoil Metric Schema,1.81,MATCH: CXOGC J174537.0-285955 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m39.27s -29d00m13.97s,0.2688,22.0866,Gasious Substrate Schema,0.51,MATCH: GCIRS 11NE (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m42.10s -29d01m26.67s,0.7837,283.7887,Localized Torsional Inflection,4.41,MATCH: CXOGC J174541.9-290130 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
17h45m36.98s -29d01m11.98s,0.2441,28.6457,Gasious Substrate Schema,1.48,MATCH: CXOGC J174537.0-290110 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m34.58s -28d59m55.64s,0.2948,59.0047,Solenoidal Metric Schema (Iron),5.35,MATCH: CXOGC J174534.4-285951 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m40.78s -29d01m26.96s,0.2226,255.6145,Gasious Substrate Schema,4.5,MATCH: [FJ95]  8 (*),,,,,,,⚠ LENS CANDIDATE,VARIABLE STAR,Gasious Substrate Schema,
17h45m43.98s -29d01m13.31s,0.2667,11.9553,Gasious Substrate Schema,4.88,MATCH: SSTGC 536969 (IR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h45m43.83s -29d00m30.86s,0.252,41.257,Gasious Substrate Schema,2.22,MATCH: [FJ95] 53 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m40.62s -29d01m42.84s,0.2371,175.6478,Gasious Substrate Schema,1.67,MATCH: CXOGC J174540.7-290141 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m39.36s -29d00m32.21s,0.6323,72.2494,Metric Spacetime Anomaly,0.58,MATCH: [NS2013] 21 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m37.41s -29d00m23.82s,0.7089,167.6534,Metric Spacetime Anomaly,3.02,MATCH: CXOGC J174537.6-290023 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m41.12s -29d00m41.74s,0.4931,20.6065,Metric Spacetime Anomaly,0.77,MATCH: [FNS2015] 1108 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m42.55s -29d01m21.55s,0.3391,14.9091,Helical Metric Schema,7.31,MATCH: CXOGC J174542.9-290126 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
17h45m40.30s -28d59m40.69s,0.2948,159.7064,Solenoidal Metric Schema (Iron),1.25,MATCH: OH 359.955-00.040 (Mas),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m42.76s -28d59m27.64s,0.2038,136.106,Minkowskian Baseline,3.68,MATCH: CXOGC J174542.4-285927 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m45.05s -29d00m37.20s,0.6056,59.47,Metric Spacetime Anomaly,4.97,MATCH: CXOGC J174544.6-290039 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m36.94s -29d00m49.08s,0.3663,82.7139,Trefoil Metric Schema,1.18,MATCH: [MBB2008] G359.933-0.039 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m37.67s -29d01m35.38s,0.2,358.1914,Minkowskian Baseline,1.73,MATCH: CXOGC J174537.7-290134 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m42.87s -29d00m26.67s,0.2695,156.6336,Gasious Substrate Schema,3.02,MATCH: OSU C4 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m41.96s -29d00m02.80s,0.3398,217.8044,Helical Metric Schema,3.31,MATCH: [BSD96] 121 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m36.36s -29d00m53.58s,0.6717,44.5117,Metric Spacetime Anomaly,1.32,MATCH: CXOU J174536.4-290053 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m37.22s -28d59m17.29s,0.3639,7.6217,Trefoil Metric Schema,3.31,MATCH: CXOGC J174537.0-285920 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m42.51s -28d59m48.70s,0.275,16.9849,Gasious Substrate Schema,2.74,MATCH: [BSD96] 124 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m38.76s -29d01m45.91s,0.1667,81.2727,Minkowskian Baseline,4.17,MATCH: CXOGC J174538.6-290142 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m38.54s -29d00m31.48s,0.468,12.8298,Metric Spacetime Anomaly,2.2,MATCH: [FNS2015] 493 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m41.20s -28d59m54.91s,0.2748,154.593,Gasious Substrate Schema,2.6,MATCH: [NS2013] 41 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m38.56s -28d59m32.06s,0.3838,15.9695,Trefoil Metric Schema,4.83,MATCH: CXOGC J174538.7-285928 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m37.15s -28d59m17.38s,0.2597,29.1095,Gasious Substrate Schema,2.9,MATCH: CXOGC J174537.0-285920 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m38.81s -29d00m09.36s,0.718,146.4724,Metric Spacetime Anomaly,1.27,MATCH: CXOGC J174538.8-290008 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m34.85s -29d00m41.47s,0.338,71.8661,Helical Metric Schema,1.14,MATCH: CXOGC J174534.8-290040 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
17h45m41.15s -29d00m13.10s,0.3352,241.8498,Helical Metric Schema,0.74,MATCH: [FNS2015] 1519 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m36.51s -29d00m46.65s,0.224,106.5478,Gasious Substrate Schema,3.31,MATCH: [MBB2008] G359.933-0.037 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m41.89s -29d00m14.98s,0.1685,59.4088,Minkowskian Baseline,0.33,MATCH: [FNS2015] 1230 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m36.41s -29d00m05.93s,0.2873,2.6189,Solenoidal Metric Schema (Iron),3.75,MATCH: [FJ95] 24 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m36.30s -29d00m50.94s,0.3768,46.7974,Trefoil Metric Schema,2.51,MATCH: CXOGC J174536.1-290051 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m39.75s -28d59m23.74s,0.2963,13.1871,Solenoidal Metric Schema (Iron),1.22,MATCH: CXOGC J174539.7-285924 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m42.82s -29d00m20.09s,0.2112,130.847,Minkowskian Baseline,1.72,MATCH: [BSD96] 201 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
