SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,151201672,11h17m48.3s +35d01m54s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,494638796,00h21m58.6s -19d20m29s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,96254,16h06m50.7s +09d37m15s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,359030,21h39m36.0s -28d18m41s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,154314,20h14m02.3s +17d27m49s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,388344,08h57m46.2s +21d03m58s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,359632,12h40m16.4s -16d24m32s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,335686,01h03m05.4s +22d39m26s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,452458,11h05m42.7s -08d08m57s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,578010,21h45m22.7s -21d40m47s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,152037793,05h15m19.6s +42d39m09s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,504672241,06h10m13.2s -28d47m27s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,,,97759,15h57m16.4s +16d20m13s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,360702,19h14m09.2s -31d41m31s,0.95,0.6427,0.507,Collapse,X-Ray / Gamma,SINGULARITY,,,155652,20h02m19.6s +19d16m42s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,389682,06h43m52.0s +21d54m15s,1.24,0.9742,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,361137,14h53m17.7s -19d20m35s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,339197,23h25m35.6s +17d32m43s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464164,10h26m45.5s -06d25m12s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,580017,01h12m53.2s -02d54m24s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,154546154,04h20m11.2s +45d41m35s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,508016722,19h24m53.4s -16d25m15s,4.64,0.7736,1.705,Collapse,X-Ray / Gamma,SINGULARITY,,,98261,16h09m39.6s +26d55m31s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,367391,00h11m46.9s -23d58m16s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,,,156321,18h58m09.5s +10d05m15s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,396371,08h20m49.3s +30d26m42s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,365652,15h59m34.2s -30d33m37s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,340368,03h35m10.1s +12d17m48s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465836,15h09m59.3s -12d16m51s,8.33,0.9999,1.834,Fuel,UV / Lyman,HYDROGEN,,,584030,06h55m16.3s -04d44m32s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,156218395,02h03m59.4s +37d53m51s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,521394649,15h13m59.8s -13d41m15s,0.53,0.7311,0.217,Collapse,X-Ray / Gamma,SINGULARITY,,,98763,16h30m23.4s +09d01m02s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,372408,03h28m01.8s -30d22m22s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,159666,02h34m18.4s +23d33m10s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,399047,13h16m39.8s +34d29m31s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,367157,14h55m06.0s -22d29m31s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,343880,02h37m41.2s +07d27m43s,1.08,0.9999,0.238,Forming,K-Band (IR),PROTO-MATTER,,,467508,18h59m40.2s -24d14m31s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,588043,05h28m26.6s -09d37m06s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,157890635,00h10m12.8s +57d25m05s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,524739130,08h19m11.7s -12d13m43s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,99766,17h35m59.4s +18d17m45s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,,,382441,06h32m52.1s -32d14m18s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160334,21h32m47.3s +06d13m16s,3.6,0.9999,0.793,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,401722,17h01m21.0s +37d51m23s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,376187,21h36m34.8s -23d47m51s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,345050,05h53m59.8s +11d29m57s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,480886,00h02m25.4s -09d37m19s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,590050,03h52m44.1s -12d24m11s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,159562876,22h10m58.8s +38d36m18s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,538117057,19h51m07.0s -14d28m17s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,100268,18h19m37.8s +12d45m24s,0.82,0.955,0.198,Forming,K-Band (IR),PROTO-MATTER,,,384114,03h53m56.6s -28d33m20s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,161672,03h37m05.7s +05d36m22s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,404398,17h08m02.3s +39d56m11s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,377692,23h39m18.1s -16d37m52s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,353244,08h57m22.5s +09d17m48s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,482559,02h22m05.9s -07d37m20s,3.78,0.9999,0.831,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,596070,09h15m23.1s -20d42m50s,0.93,0.658,0.475,Collapse,X-Ray / Gamma,SINGULARITY,
,162071237,21h49m36.1s +56d01m13s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,,544806020,09h55m14.1s -23d20m07s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,102776,22h58m32.5s +09d57m06s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,394147,14h06m18.7s -33d43m33s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,162341,01h09m11.6s +24d46m26s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,407074,14h46m55.5s +40d20m36s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,380702,00h37m32.6s -24d48m29s,1.22,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,355585,05h19m48.2s +06d00m32s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,,,487575,01h33m23.5s -04d29m24s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,598077,12h54m12.8s -02d54m39s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,166251839,06h34m02.9s +52d08m43s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,551494983,13h54m28.2s -17d18m34s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,103779,00h49m02.4s +12d17m45s,0.72,0.9441,0.177,Ghost,Radio / CMB,DARK MATTER,,,400836,15h45m32.6s -32d40m30s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,163679,02h43m07.5s +24d46m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,408411,19h36m17.5s +39d52m28s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,385217,21h40m55.4s -25d13m08s,1.03,0.8287,0.329,Collapse,X-Ray / Gamma,SINGULARITY,,,359097,11h31m31.9s +20d02m37s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,492592,00h30m20.4s -07d19m40s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,600084,15h04m56.2s -22d39m27s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,167924080,00h42m26.1s +49d21m56s,5.69,0.9999,1.252,Fuel,UV / Lyman,HYDROGEN,,,,571561873,16h52m37.0s -17d03m36s,0.87,0.9999,0.192,Forming,K-Band (IR),PROTO-MATTER,,,104281,01h37m34.1s +18d35m16s,5.19,0.8137,1.725,Collapse,X-Ray / Gamma,SINGULARITY,,,402508,19h53m31.0s -17d31m23s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,165017,23h08m59.9s +24d20m10s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,409749,13h38m25.5s +38d58m22s,3.12,0.6943,1.424,Collapse,X-Ray / Gamma,SINGULARITY,,,389732,01h14m03.5s -23d20m31s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,366120,12h35m04.5s +06d40m46s,0.64,0.8119,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,499281,04h59m09.0s -04d30m31s,2.23,0.9999,0.491,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,602090,15h05m11.0s -02d53m17s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,
,169596321,18h44m13.4s +35d08m45s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,574906355,05h39m42.0s -09d32m25s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,105284,02h54m31.8s +08d24m21s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,405853,14h40m58.0s -34d42m09s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,167023,02h33m21.7s +07d18m41s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,412425,16h13m43.0s +36d01m48s,3.25,0.9999,0.716,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,395753,08h58m42.7s -17d48m52s,2.47,0.9999,0.543,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,367291,17h24m57.8s +05d05m34s,2.47,0.9999,0.543,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,500953,04h52m08.7s -19d59m31s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,606104,11h47m58.4s -06d34m49s,1.37,0.8354,0.433,Collapse,X-Ray / Gamma,SINGULARITY,
,174613043,04h35m31.2s +40d43m07s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,584939799,11h20m49.7s -13d56m59s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,105786,03h21m01.6s +27d43m23s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,412542,19h01m10.4s -31d08m42s,1.14,0.8275,0.365,Collapse,X-Ray / Gamma,SINGULARITY,,,167692,23h56m31.0s +22d14m51s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,415100,21h21m09.9s +31d59m53s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,397258,08h30m30.4s -15d22m34s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,368462,14h27m28.4s +07d02m03s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,505970,10h09m33.7s -11d55m25s,0.78,0.9859,0.176,Ghost,Radio / CMB,DARK MATTER,,,608110,11h36m48.9s -15d37m07s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,176285284,01h50m09.9s +57d56m49s,1.67,0.9999,0.368,High-Tension,B/V (Violet),CALCIUM,,,,588284281,05h19m04.2s -10d52m34s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,106789,03h47m30.0s +14d30m46s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,414214,19h11m07.0s -15d57m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,169699,00h54m35.8s +10d27m13s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,419114,18h21m52.9s +25d25m45s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,400268,06h04m43.8s -31d02m36s,0.61,0.7734,0.223,Collapse,X-Ray / Gamma,SINGULARITY,,,369632,11h13m16.1s +11d51m08s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,516003,13h17m29.7s -04d00m27s,2.55,0.9999,0.562,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,612124,17h17m58.1s -09d12m34s,1.08,0.8722,0.313,Collapse,X-Ray / Gamma,SINGULARITY,
,177957525,23h50m27.5s +35d00m49s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,591628763,19h48m43.8s -26d37m37s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,109799,02h03m52.1s +29d48m23s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,417559,03h23m25.6s -35d03m26s,5.78,0.9999,1.272,Fuel,UV / Lyman,HYDROGEN,,,171037,08h46m34.5s +12d25m14s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,425803,21h28m25.6s +19d06m47s,2.42,0.9763,0.56,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,401773,05h26m49.0s -34d14m06s,0.71,0.9809,0.163,Ghost,Radio / CMB,DARK MATTER,,,371973,19h47m27.2s +22d58m27s,0.92,0.7899,0.324,Collapse,X-Ray / Gamma,SINGULARITY,,,526037,00h48m31.9s -17d35m37s,0.8,0.8994,0.217,Collapse,X-Ray / Gamma,SINGULARITY,,,616137,23h14m35.8s -03d57m18s,2.64,0.9999,0.582,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,180465886,05h15m22.9s +58d34m33s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,605006689,11h21m27.2s -28d58m33s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,110301,01h31m52.5s +10d05m04s,1.08,0.9999,0.237,Forming,K-Band (IR),PROTO-MATTER,,,419231,00h02m53.1s -21d17m19s,0.63,0.9365,0.158,Ghost,Radio / CMB,DARK MATTER,,,173712,07h51m30.3s +16d44m09s,0.96,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,431154,05h25m32.6s +21d59m12s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,404783,07h33m47.6s -18d45m53s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,373144,15h49m49.3s +25d20m47s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,529381,18h17m53.3s -17d37m37s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,618144,23h11m46.2s -22d37m18s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,184646488,14h13m42.2s +56d12m16s,2.12,0.9999,0.467,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,615040134,11h21m52.1s -16d04m45s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,110803,01h00m04.4s +21d09m21s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,427592,01h33m00.4s -26d24m45s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,174381,02h52m44.7s +12d23m51s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,432492,01h39m46.4s +23d44m46s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,406288,10h07m31.5s -14d49m04s,1.38,0.9983,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,375485,19h11m15.3s +19d41m57s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,532726,03h56m12.5s -06d30m56s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,620151,21h29m41.8s -01d54m10s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,187990970,04h01m09.4s +36d58m56s,1.3,0.843,0.401,Collapse,X-Ray / Gamma,SINGULARITY,,,,628418060,07h08m26.6s -19d29m33s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,111304,00h30m16.8s +24d08m40s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434281,06h10m15.5s -34d48m59s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,180401,12h54m46.5s +25d23m50s,1.57,0.9999,0.346,Stable,V-Band (Green),MAGNESIUM,,,439181,06h44m35.4s +35d05m38s,1.12,0.9999,0.245,Forming,K-Band (IR),PROTO-MATTER,,,410803,16h53m12.8s -34d40m40s,0.91,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,376656,21h54m41.2s +13d36m39s,0.51,0.778,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,541087,07h57m26.0s -20d32m36s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,624164,19h30m22.0s -03d54m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,190499331,09h11m46.4s +51d24m01s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,635107023,14h26m49.7s -17d53m47s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,113311,23h23m53.8s +16d47m02s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,437625,11h07m28.6s -14d33m58s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,184415,14h11m30.4s +26d04m03s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441856,05h18m27.5s +38d58m01s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,412308,17h06m05.0s -29d48m15s,1.09,0.8824,0.309,Collapse,X-Ray / Gamma,SINGULARITY,,,377826,17h13m36.4s +07d59m40s,0.7,0.8948,0.191,Collapse,X-Ray / Gamma,SINGULARITY,,,549448,09h02m05.3s -11d34m57s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,626171,21h35m09.3s -18d47m44s,0.24,0.5977,0.146,Collapse,X-Ray / Gamma,SINGULARITY,
,193007692,10h08m07.1s +44d54m35s,1,0.9999,0.219,Forming,K-Band (IR),PROTO-MATTER,,,,638451505,02h46m28.8s -08d20m32s,1.23,0.9999,0.272,Forming,K-Band (IR),PROTO-MATTER,,,115318,00h32m37.9s +17d19m59s,0.49,0.8197,0.16,Collapse,X-Ray / Gamma,SINGULARITY,,,442642,08h31m43.9s -16d36m15s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,186421,12h08m21.6s +05d27m30s,0.71,0.8983,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,445870,12h16m12.0s +41d51m32s,0.37,0.6949,0.166,Collapse,X-Ray / Gamma,SINGULARITY,,,419833,14h11m52.1s -34d52m17s,0.75,0.8443,0.232,Collapse,X-Ray / Gamma,SINGULARITY,,,378997,16h20m34.9s +04d50m29s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,552793,08h24m23.5s -23d13m15s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,636204,05h30m11.7s -21d29m54s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,194679933,05h26m29.2s +56d43m35s,0.33,0.7283,0.136,Collapse,X-Ray / Gamma,SINGULARITY,,,,641795987,17h03m07.3s -23d02m13s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,116823,02h55m46.0s +08d10m09s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,445987,17h50m27.0s -35d53m17s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,187090,17h12m14.1s +24d06m10s,0.7,0.9999,0.153,Ghost,Radio / CMB,DARK MATTER,,,448545,09h33m10.9s +41d18m42s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,425853,00h14m44.9s -17d17m31s,0.97,0.9999,0.213,Forming,K-Band (IR),PROTO-MATTER,,,382508,18h42m50.1s +15d15m55s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,556137,14h30m00.8s -02d51m39s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,638211,03h38m16.6s -01d58m15s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,198860535,14h42m54.1s +59d40m33s,0.58,0.679,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,,645140468,11h02m24.9s -30d22m59s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,119331,08h12m26.0s +10d37m46s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,449331,12h30m31.3s -14d56m11s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,188428,10h21m32.0s +22d28m12s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,449883,17h40m55.8s +40d17m07s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,431873,22h20m51.0s -22d51m45s,1.75,0.8596,0.521,Collapse,X-Ray / Gamma,SINGULARITY,,,383679,19h16m07.6s +21d18m60s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,,,557809,09h31m06.7s -14d37m18s,0.66,0.9878,0.148,Ghost,Radio / CMB,DARK MATTER,,,642224,05h31m52.6s -01d55m07s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,201368896,20h14m13.1s +33d45m03s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,658518395,05h46m39.2s -28d41m57s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,120334,10h04m08.3s +26d10m15s,5.65,0.9999,1.244,Fuel,UV / Lyman,HYDROGEN,,,451003,13h55m14.2s -31d45m31s,1.5,0.9999,0.33,Stable,V-Band (Green),MAGNESIUM,,,192441,13h08m55.8s +15d47m34s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,452559,17h39m24.4s +36d55m45s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,433378,21h17m36.4s -14d39m05s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,386020,01h25m57.4s +25d36m13s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,559482,09h54m15.2s -26d35m37s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,648244,15h33m54.3s -15d58m35s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,202205017,02h15m25.9s +47d23m04s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,661862876,18h47m32.6s -11d19m10s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,123344,12h17m17.0s +06d42m57s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,456020,17h24m44.9s -23d33m33s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,193110,13h23m29.7s +15d40m54s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,463261,21h33m55.7s +19d11m36s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434883,21h18m41.7s -15d57m20s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,387191,20h21m16.0s +22d16m12s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,566171,12h19m17.2s -17d58m10s,3.61,0.9999,0.793,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,654264,11h33m20.5s -19d19m14s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
