SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,30682,04h33m58.4s -37d42m15s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,41043,13h01m48.7s -03d06m00s,1.55,0.9999,0.341,Stable,V-Band (Green),MAGNESIUM,,,43144,20h34m21.5s -66d47m51s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,48923,17h39m05.2s +42d18m12s,1.36,0.7372,0.551,Collapse,X-Ray / Gamma,SINGULARITY,,,36532,08h56m43.7s -04d22m29s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45836,15h53m48.1s +32d38m03s,0.85,0.9999,0.188,Forming,K-Band (IR),PROTO-MATTER,,,43191,11h17m08.8s -32d33m14s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37696,05h41m08.8s +39d28m15s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46582,11h55m38.4s +66d37m09s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30530,09h42m50.9s -48d01m34s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30699,14h15m29.2s -17d51m34s,0.75,0.8307,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,,,41344,12h53m05.6s -03d10m21s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43395,20h56m57.4s -75d17m53s,0.63,0.6534,0.322,Collapse,X-Ray / Gamma,SINGULARITY,,,49391,17h26m45.5s +40d16m18s,1.12,0.9999,0.247,Forming,K-Band (IR),PROTO-MATTER,,,36632,15h07m36.8s -29d07m47s,0.8,0.7774,0.292,Collapse,X-Ray / Gamma,SINGULARITY,,,45876,20h59m27.1s +56d43m24s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43241,19h10m14.7s -58d16m24s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37729,07h36m01.1s +13d52m56s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46662,21h56m54.7s +65d27m32s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30547,18h48m29.7s -32d32m60s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,30716,03h34m04.1s -15d05m35s,2.14,0.8688,0.624,Collapse,X-Ray / Gamma,SINGULARITY,,,,41495,06h52m10.7s +02d29m22s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43545,18h35m08.3s -74d13m50s,1.26,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,49525,14h58m51.4s +16d25m09s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36699,18h53m27.1s -16d40m30s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45957,10h58m26.7s +55d15m37s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43291,15h57m54.8s -40d23m31s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37829,13h30m32.6s +16d46m25s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46689,21h23m41.5s +40d51m48s,1.09,0.9999,0.24,Forming,K-Band (IR),PROTO-MATTER,,,30564,10h44m39.4s -36d57m15s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30749,03h27m52.7s -45d13m12s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,41545,14h19m53.0s +25d15m24s,9.01,0.9999,1.984,Fuel,UV / Lyman,HYDROGEN,,,43595,10h45m44.1s -46d00m32s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,50060,14h12m36.9s +18d15m28s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,36732,19h41m09.0s -20d55m08s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46117,14h02m06.3s +51d42m49s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43542,15h34m50.4s -56d17m28s,0.84,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,,,37896,14h33m57.6s +09d41m30s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46903,16h10m43.5s +60d42m13s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30580,17h28m20.6s -54d34m53s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30783,04h17m12.6s -13d57m01s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,41696,17h16m11.8s +21d48m29s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43796,18h16m03.0s -70d58m11s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,50127,09h57m31.7s +31d10m51s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,36900,12h00m38.7s -07d43m03s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46237,10h13m54.0s +41d21m44s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43692,11h09m14.4s -50d12m51s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37963,12h16m08.6s +14d57m40s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46957,12h30m06.8s +65d13m45s,1.06,0.9999,0.234,Forming,K-Band (IR),PROTO-MATTER,,,30614,15h37m51.0s -42d17m35s,0.9,0.8592,0.27,Collapse,X-Ray / Gamma,SINGULARITY,
,30799,13h18m31.0s -19d18m29s,0.59,0.699,0.264,Collapse,X-Ray / Gamma,SINGULARITY,,,,41746,06h41m31.4s -05d33m47s,0.78,0.9991,0.173,Ghost,Radio / CMB,DARK MATTER,,,43896,21h33m38.2s -46d50m05s,0.41,0.6733,0.199,Collapse,X-Ray / Gamma,SINGULARITY,,,50462,18h50m11.3s +14d09m30s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36967,08h32m16.4s -22d54m11s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46278,17h57m09.7s +47d33m29s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43893,20h51m43.8s -35d18m40s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38030,08h02m19.1s +28d27m36s,0.78,0.9506,0.19,Forming,K-Band (IR),PROTO-MATTER,,,47010,21h02m24.1s +40d36m26s,1.19,0.9567,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30630,14h25m09.1s -31d06m33s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30816,05h54m48.6s -39d39m54s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,41796,14h58m10.5s +18d12m31s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43997,17h30m32.6s -53d26m46s,0.65,0.6932,0.3,Collapse,X-Ray / Gamma,SINGULARITY,,,50729,07h41m17.8s +43d09m12s,0.72,0.8525,0.218,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,,,46358,12h00m49.2s +45d20m46s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43943,11h09m31.1s -59d56m33s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38164,03h57m43.6s +38d40m57s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47064,19h51m56.0s +56d45m07s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30664,16h28m52.1s -58d23m50s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30849,08h05m26.7s -25d05m35s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,,41896,08h36m00.1s -04d47m58s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44047,17h54m42.0s -53d01m30s,1.63,0.9999,0.359,Stable,V-Band (Green),MAGNESIUM,,,51197,08h40m26.4s +40d48m42s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29408,11h20m40.4s -20d08m43s,0.79,0.8606,0.234,Collapse,X-Ray / Gamma,SINGULARITY,,,46398,12h18m45.8s +45d46m32s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44043,14h47m17.0s -42d16m33s,5.31,0.7767,1.936,Collapse,X-Ray / Gamma,SINGULARITY,,,38231,06h45m32.5s +26d54m51s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47144,13h14m29.9s +54d38m43s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30681,11h39m29.6s -54d56m25s,2.06,0.9999,0.453,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,30866,09h06m30.8s -12d24m35s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,42047,15h35m30.8s +00d01m27s,0.94,0.7805,0.339,Collapse,X-Ray / Gamma,SINGULARITY,,,44197,11h20m52.7s -61d14m21s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,51398,15h28m10.2s +15d31m11s,1.95,0.9999,0.428,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,29575,11h31m11.2s -20d23m54s,0.86,0.8201,0.282,Collapse,X-Ray / Gamma,SINGULARITY,,,46639,13h52m00.5s +52d22m56s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,44244,21h17m01.3s -52d40m32s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38365,14h35m47.1s +09d11m25s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47224,22h28m44.5s +52d30m15s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,,,30731,19h26m16.9s -47d55m03s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30883,10h28m18.4s -25d15m30s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,42097,11h38m53.1s +26d05m26s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44247,18h11m34.7s -71d36m03s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,51866,12h11m58.4s +17d35m29s,2.41,0.7299,0.995,Collapse,X-Ray / Gamma,SINGULARITY,,,29843,09h20m14.6s -08d50m36s,0.74,0.8192,0.243,Collapse,X-Ray / Gamma,SINGULARITY,,,46759,19h45m49.7s +34d38m01s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44344,15h41m43.7s -56d43m55s,3.93,0.8833,1.109,Collapse,X-Ray / Gamma,SINGULARITY,,,38532,09h21m21.5s +11d55m19s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47411,22h01m44.8s +46d30m36s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30781,09h27m23.5s -32d43m18s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,30933,04h51m53.4s -18d54m48s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,42197,17h19m26.5s +07d39m55s,0.9,0.8555,0.271,Collapse,X-Ray / Gamma,SINGULARITY,,,44348,11h49m58.0s -69d16m07s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,51933,16h55m21.7s +31d49m04s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30344,09h01m56.6s -19d24m08s,0.35,0.7067,0.155,Collapse,X-Ray / Gamma,SINGULARITY,,,46799,10h53m58.4s +56d16m46s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44395,20h34m30.7s -45d01m18s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38632,04h03m20.9s +36d56m17s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47492,12h01m52.1s +48d22m50s,1.51,0.9999,0.332,Stable,V-Band (Green),MAGNESIUM,,,30798,19h23m35.9s -35d10m03s,0.68,0.6956,0.311,Collapse,X-Ray / Gamma,SINGULARITY,
,30967,03h37m01.4s -32d00m37s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,42298,16h11m33.2s -05d29m01s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44448,11h06m29.0s -45d02m58s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Sync & Pull Matches,,,,,,,,,,,30813,08h08m11.8s -18d16m08s,0.77,0.8019,0.262,Collapse,X-Ray / Gamma,SINGULARITY,,,46839,14h07m39.8s +32d51m22s,0.76,0.9817,0.175,Ghost,Radio / CMB,DARK MATTER,,,44545,14h00m01.5s -37d12m39s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38666,03h46m07.2s +19d24m07s,0.97,0.8005,0.331,Collapse,X-Ray / Gamma,SINGULARITY,,,47572,23h15m18.6s +50d24m54s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30848,11h57m14.1s -43d55m21s,1.01,0.9999,0.222,Forming,K-Band (IR),PROTO-MATTER,
,30983,15h10m50.4s -45d55m58s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,42548,16h45m57.1s +09d24m13s,1.91,0.9999,0.421,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,44498,18h52m19.9s -74d54m53s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32067,03h02m01.6s +29d30m40s,0.49,0.8342,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,32184,12h46m10.8s -13d14m41s,0.68,0.7304,0.28,Collapse,X-Ray / Gamma,SINGULARITY,,,46880,21h58m34.5s +57d57m18s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44796,13h37m21.3s -55d05m07s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38699,04h25m36.7s +23d01m18s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,47625,16h16m28.3s +42d43m50s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30865,16h19m08.7s -30d31m47s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
Sync & Pull Matches,,,,,,,,,,,,42699,17h09m00.3s +01d05m51s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44548,17h06m12.3s -55d47m22s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38087,09h07m29.6s +36d04m35s,0.42,0.7989,0.146,Collapse,X-Ray / Gamma,SINGULARITY,,,32719,12h20m23.7s -23d51m28s,0.9,0.8859,0.253,Collapse,X-Ray / Gamma,SINGULARITY,,,46920,16h04m14.8s +31d17m29s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44997,22h30m10.5s -31d13m13s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38833,12h41m55.7s +09d39m34s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,47652,12h16m50.7s +52d34m37s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,30881,14h00m45.3s -40d09m06s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,
,26017,07h32m40.3s -29d04m30s,0.63,0.7478,0.25,Collapse,X-Ray / Gamma,SINGULARITY,,,,42749,06h27m30.9s +04d53m54s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,44599,12h17m48.6s -50d25m47s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42100,11h02m11.2s +39d18m08s,0.48,0.7651,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,33455,09h45m45.8s -03d40m41s,0.79,0.853,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,,,45047,13h15m46.9s -60d07m60s,2.03,0.9999,0.446,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,38900,15h30m17.4s +21d13m44s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,47706,16h54m18.8s +41d14m38s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,30948,18h09m40.5s -30d44m38s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26385,05h49m29.9s -26d04m49s,0.52,0.8518,0.158,Collapse,X-Ray / Gamma,SINGULARITY,,,,42900,11h00m39.1s +13d38m03s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44649,22h04m35.8s -76d35m22s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45043,06h19m43.4s +18d14m51s,0.66,0.8056,0.224,Collapse,X-Ray / Gamma,SINGULARITY,,,33555,14h40m29.3s -14d05m57s,0.44,0.6436,0.236,Collapse,X-Ray / Gamma,SINGULARITY,,,35682,09h17m27.5s +43d46m19s,0.45,0.7987,0.155,Collapse,X-Ray / Gamma,SINGULARITY,,,45097,17h41m58.9s -39d19m48s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38933,15h34m53.9s +20d58m42s,0.68,0.9999,0.15,Ghost,Radio / CMB,DARK MATTER,,,47732,21h50m52.7s +54d49m33s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30998,09h23m47.3s -51d50m06s,1.95,0.7755,0.712,Collapse,X-Ray / Gamma,SINGULARITY,
,26635,05h39m33.9s -26d23m24s,0.6,0.8353,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,,43000,06h32m10.3s -06d59m01s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44699,10h54m34.8s -48d12m52s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46314,15h42m29.8s +25d32m13s,0.37,0.7085,0.163,Collapse,X-Ray / Gamma,SINGULARITY,,,35227,17h41m17.0s -29d05m44s,0.15,0.4688,0.152,Collapse,X-Ray / Gamma,SINGULARITY,,,37247,09h55m29.7s +45d00m23s,0.62,0.8305,0.198,Collapse,X-Ray / Gamma,SINGULARITY,,,45298,12h55m38.9s -45d14m06s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Sync & Pull Matches,,,,,,,,,,,47759,23h23m30.4s +69d01m43s,1.07,0.9999,0.236,Forming,K-Band (IR),PROTO-MATTER,,,31015,20h12m39.8s -33d09m51s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27405,09h39m03.8s -23d25m55s,0.31,0.6888,0.146,Collapse,X-Ray / Gamma,SINGULARITY,,,Sync & Pull Matches,,,,,,,,,,,45000,20h11m33.6s -43d35m39s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46716,11h34m44.1s +34d15m44s,0.91,0.963,0.216,Forming,K-Band (IR),PROTO-MATTER,,,35729,18h32m20.9s -01d54m47s,0.51,0.7854,0.183,Collapse,X-Ray / Gamma,SINGULARITY,,,37769,13h41m26.3s +49d16m06s,0.73,0.8779,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,45348,18h23m42.1s -57d21m39s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30271,04h51m11.1s +21d33m50s,0.64,0.8427,0.198,Collapse,X-Ray / Gamma,SINGULARITY,,,47866,13h23m33.1s +39d01m04s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31048,19h57m11.0s -52d18m50s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28007,08h07m47.9s -35d43m06s,0.61,0.8082,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,,28652,05h31m54.4s +10d59m20s,0.67,0.7538,0.26,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,,,50729,07h41m17.8s +43d09m12s,0.72,0.8525,0.218,Collapse,X-Ray / Gamma,SINGULARITY,,,36498,08h05m16.2s -18d55m39s,0.75,0.898,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,39375,14h48m38.6s +41d17m23s,0.3,0.635,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,45498,23h04m36.1s -50d21m50s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30839,04h06m43.2s +22d27m23s,0.81,0.8392,0.254,Collapse,X-Ray / Gamma,SINGULARITY,,,47946,23h11m09.4s +38d19m53s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,31099,11h29m30.1s -30d11m20s,0.47,0.6898,0.215,Collapse,X-Ray / Gamma,SINGULARITY,
,28876,11h28m05.8s -34d28m56s,0.72,0.8464,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,,29304,04h15m16.8s +12d29m06s,0.86,0.769,0.319,Collapse,X-Ray / Gamma,SINGULARITY,,,30201,10h04m25.2s -62d10m10s,0.94,0.886,0.265,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for DARK MATTER,,,,,,,,,,,36632,15h07m36.8s -29d07m47s,0.8,0.7774,0.292,Collapse,X-Ray / Gamma,SINGULARITY,,,39615,12h24m57.5s +38d45m03s,0.61,0.7786,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,45548,12h37m17.2s -29d33m31s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,31575,07h01m49.7s +30d46m07s,0.6,0.9707,0.141,Ghost,Radio / CMB,DARK MATTER,,,47973,19h04m14.7s +61d39m53s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31132,13h33m47.4s -57d30m34s,0.66,0.9381,0.166,Ghost,Radio / CMB,DARK MATTER,
,30699,14h15m29.2s -17d51m34s,0.75,0.8307,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,,,30308,04h24m30.7s +13d18m39s,0.68,0.9421,0.169,Ghost,Radio / CMB,DARK MATTER,,,30301,09h04m30.9s -59d13m46s,0.58,0.9636,0.138,Ghost,Radio / CMB,DARK MATTER,,,36348,06h00m24.3s +31d27m52s,0.59,0.9999,0.129,Ghost,Radio / CMB,DARK MATTER,,Filter for DARK MATTER,,,,,,,,,,,41702,15h12m06.5s +55d12m09s,0.64,0.854,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,46000,23h25m44.1s -51d14m21s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32144,08h34m13.8s +24d15m12s,0.88,0.7233,0.368,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,,,31182,12h36m46.0s -29d39m05s,5.18,0.9999,1.14,Fuel,UV / Lyman,HYDROGEN,
,30799,13h18m31.0s -19d18m29s,0.59,0.699,0.264,Collapse,X-Ray / Gamma,SINGULARITY,,,,30408,05h18m41.0s +12d11m44s,0.49,0.8015,0.167,Collapse,X-Ray / Gamma,SINGULARITY,,,31906,08h54m15.6s -59d51m38s,0.72,0.8623,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,37418,07h29m26.0s +24d39m30s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,30110,11h27m15.1s -19d46m31s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,42104,17h29m49.0s +54d30m40s,0.88,0.6695,0.434,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,,,35421,08h00m17.7s +36d37m55s,0.49,0.7714,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,41659,15h07m13.7s +50d34m02s,0.53,0.7137,0.227,Collapse,X-Ray / Gamma,SINGULARITY,,,31266,20h31m20.9s -31d43m09s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
Filter for DARK MATTER,,,,,,,,,,,,34271,05h58m26.7s +05d06m34s,0.68,0.8838,0.191,Collapse,X-Ray / Gamma,SINGULARITY,,,32960,12h03m02.3s -62d42m31s,0.56,0.5673,0.383,Collapse,X-Ray / Gamma,SINGULARITY,,,38622,09h08m36.9s +30d03m59s,0.69,0.9999,0.151,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,42946,14h55m30.8s +49d30m33s,0.4,0.6836,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,32505,09h27m04.7s -42d39m13s,0.23,0.5759,0.149,Collapse,X-Ray / Gamma,SINGULARITY,,,36893,12h52m27.5s +23d46m53s,0.72,0.8148,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,,42007,16h14m17.1s +58d15m44s,0.51,0.7312,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,31299,20h28m43.7s -61d49m14s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
