SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,6943662,04h16m39.4s +51d06m06s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9773579,17h11m08.6s -43d44m53s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5420569,13h11m37.0s +04d46m30s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12294314,10h29m38.7s +11d23m58s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2829361,15h34m44.5s +14d02m06s,1.55,0.9999,0.341,Stable,V-Band (Green),MAGNESIUM,,,2321940,08h20m02.6s +50d26m47s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8486622,07h22m09.5s +15d21m26s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8217391,00h38m27.0s -18d56m33s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10923077,18h07m04.8s +29d34m20s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14212375,13h55m55.5s -24d24m55s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,
,7010552,12h26m07.6s +77d59m30s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9827090,00h06m56.4s -66d50m55s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5447324,19h56m19.5s -15d17m17s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12361204,19h33m51.4s -02d41m36s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,2869495,03h44m48.7s +13d49m13s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2330301,11h25m17.9s +35d49m49s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8556856,00h45m11.9s +00d43m22s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8260870,22h59m16.7s -37d29m38s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10983278,17h37m25.4s +04d40m54s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14252508,14h09m35.7s -24d29m38s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,7027274,05h10m13.3s +81d53m04s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,,9853846,09h20m25.3s -43d33m07s,1.51,0.9999,0.332,Stable,V-Band (Green),MAGNESIUM,,,5460702,05h52m24.8s +04d46m25s,1.68,0.9999,0.369,High-Tension,B/V (Violet),CALCIUM,,,12428094,00h28m09.2s -13d34m27s,1.24,0.928,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2929696,17h13m35.9s +42d27m50s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2338662,18h27m01.0s +43d31m35s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8627090,03h15m45.0s -09d57m08s,0.64,0.9999,0.142,Ghost,Radio / CMB,DARK MATTER,,,8282609,10h16m26.8s -42d46m50s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11043478,21h53m21.1s +29d40m01s,1.38,0.7807,0.496,Collapse,X-Ray / Gamma,SINGULARITY,,,14493311,14h58m20.6s -24d57m44s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,
,7094164,17h25m23.1s +61d11m02s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,9987625,08h07m09.5s -66d54m57s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5487458,01h52m31.5s -15d25m57s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12561873,15h01m54.1s -03d06m43s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2939729,19h25m08.9s +32d02m36s,1.41,0.8887,0.394,Collapse,X-Ray / Gamma,SINGULARITY,,,2347023,03h13m20.1s +43d19m45s,0.36,0.5812,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,8650502,19h51m43.9s -07d16m19s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,8304348,21h37m33.1s -29d36m60s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11073579,15h50m02.8s +22d53m21s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14533445,05h55m08.9s -25d02m23s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,
,7161054,00h08m50.8s +55d19m43s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,10121405,07h51m35.5s -57d58m37s,1.05,0.7884,0.37,Collapse,X-Ray / Gamma,SINGULARITY,,,5514214,06h55m47.8s +06d45m26s,1.23,0.9458,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12662207,19h14m58.9s +00d11m06s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,3019997,11h42m46.5s +31d59m29s,0.49,0.7113,0.215,Collapse,X-Ray / Gamma,SINGULARITY,,,2380468,13h09m26.7s +55d12m48s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8697324,20h33m55.8s +04d49m36s,0.39,0.7361,0.157,Collapse,X-Ray / Gamma,SINGULARITY,,,8456522,06h03m59.5s -27d58m30s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11193980,07h02m28.4s +23d10m34s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14653846,23h30m46.9s -25d16m17s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,7194498,13h38m05.5s +71d33m05s,1.54,0.9999,0.338,Stable,V-Band (Green),MAGNESIUM,,,,10201672,00h05m35.9s -58d08m56s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5527592,11h59m59.8s -15d34m35s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,12695652,19h00m09.8s +12d16m29s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3030030,11h37m31.9s +12d57m37s,1.47,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,,,2388829,16h43m51.8s +26d44m54s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8744147,14h13m38.6s +15d09m44s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8478261,17h33m19.4s -42d36m07s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,11224080,18h18m46.9s +04d30m15s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,14693980,13h54m50.5s -25d20m53s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,7211221,03h55m33.5s +78d43m52s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,10255184,18h10m46.5s -42d34m27s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5594482,22h53m40.9s +07d03m21s,3.58,0.9999,0.787,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,12896321,14h25m58.5s +12d42m26s,0.35,0.6315,0.192,Collapse,X-Ray / Gamma,SINGULARITY,,,3100264,04h00m47.7s +31d55m51s,1.97,0.8333,0.623,Collapse,X-Ray / Gamma,SINGULARITY,,,2413913,15h37m10.8s +53d25m28s,2.73,0.9999,0.601,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8861204,01h24m16.9s -05d18m16s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,8500000,05h00m24.1s -39d06m57s,1.5,0.9999,0.33,Stable,V-Band (Green),MAGNESIUM,,,11284281,21h59m27.8s +29d50m19s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,14734114,15h46m57.5s -25d25m30s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,7261388,04h13m51.7s +77d08m02s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,10308696,00h05m51.4s -67d00m40s,0.64,0.9277,0.163,Ghost,Radio / CMB,DARK MATTER,,,5621237,14h20m22.8s +04d45m07s,0.6,0.8946,0.166,Collapse,X-Ray / Gamma,SINGULARITY,,,12963211,23h12m09.7s -03d59m38s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3130365,14h53m17.5s +43d32m26s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,2430635,17h39m30.8s +47d14m31s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8884615,18h57m06.6s -09d36m12s,1.49,0.9999,0.327,Stable,V-Band (Green),MAGNESIUM,,,8630435,00h21m30.6s -19d39m24s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11344482,10h41m50.5s +04d25m27s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14934783,13h54m39.0s -25d48m19s,1.21,0.9999,0.267,Forming,K-Band (IR),PROTO-MATTER,
,7311555,01h28m54.6s +53d19m36s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,10388963,16h05m12.5s -67d01m36s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,5661371,13h17m49.8s +04d44m32s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13030100,12h51m59.6s -13d33m35s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,3140398,22h13m34.1s +31d53m50s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2438997,18h01m15.7s +39d36m57s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8931438,15h34m17.3s -08d03m14s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8695652,08h51m59.9s -44d18m11s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11374582,04h27m08.2s +10d41m15s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15015050,05h54m41.2s -25d57m22s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,7345000,13h13m36.8s +50d14m13s,0.33,0.7164,0.143,Collapse,X-Ray / Gamma,SINGULARITY,,,,10415719,02h32m48.3s -42d11m08s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5728261,02h28m23.3s -16d17m16s,3.48,0.9999,0.767,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,13063545,04h29m50.8s +01d04m53s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3200599,10h59m24.4s +24d07m10s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2480803,22h54m14.1s +27d10m36s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9025084,18h50m10.8s +15d31m11s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8717391,19h30m55.2s -32d27m14s,1.08,0.9999,0.238,Forming,K-Band (IR),PROTO-MATTER,,,11404682,19h31m07.5s +29d54m55s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15295987,09h38m45.2s -26d28m36s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
PULL Matches,,,,,,,,,,,,10603010,09h13m23.0s -59d03m07s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5755017,06h49m12.9s +07d39m57s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13096990,03h24m07.2s +13d08m07s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3210632,07h04m21.1s +43d58m18s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2497525,22h55m56.6s +26d07m44s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,9048495,01h00m18.9s +16d41m15s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8739130,06h04m29.6s -17d27m15s,0.63,0.8653,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,11464883,19h02m08.3s +04d21m02s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15336120,21h55m32.6s -26d33m00s,1.65,0.9416,0.409,High-Tension,B/V (Violet),CALCIUM,
,2345000,12h13m15.1s +64d15m29s,2.1,0.8348,0.661,Collapse,X-Ray / Gamma,SINGULARITY,,,,10656522,03h07m54.3s -41d36m23s,2.84,0.9999,0.626,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5781773,22h49m50.1s +04d42m14s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13331104,01h41m55.4s +10d20m51s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3230699,01h13m32.2s +11d52m57s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2505886,03h33m46.1s +55d49m51s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9071906,08h59m26.4s +14d11m29s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8826087,23h33m08.5s -28d33m18s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11525084,22h06m48.9s +29d59m09s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15376254,01h54m25.6s -26d37m23s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4017241,06h32m27.2s +71d55m52s,2.38,0.9999,0.524,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,10790301,00h00m22.0s -67d03m13s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5821906,21h20m06.8s +04d41m16s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13364548,07h26m37.6s -04d55m56s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3240732,19h37m09.1s +24d09m31s,0.2,0.5351,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,2547692,02h56m59.6s +43d53m54s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9118729,17h38m58.4s +01d33m49s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,8847826,09h46m37.8s -16d10m47s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11585284,10h45m40.5s +04d16m59s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15576923,21h57m08.1s -26d59m05s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4853361,22h41m43.0s +74d23m13s,6.16,0.9999,1.356,Fuel,UV / Lyman,HYDROGEN,,,,10817057,11h32m40.8s -41d13m25s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5862040,15h05m06.8s +04d40m12s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13397993,09h45m03.4s -16d54m36s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3310967,17h33m26.9s +11d27m03s,0.8,0.7381,0.324,Collapse,X-Ray / Gamma,SINGULARITY,,,2581137,02h25m05.1s +56d29m05s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,9142140,04h46m17.2s -05d14m38s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8934783,02h27m12.2s -24d39m37s,0.89,0.9054,0.238,Forming,K-Band (IR),PROTO-MATTER,,,11645485,20h11m14.2s +30d03m00s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15737458,05h58m45.8s -27d16m07s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,
Mode Matches,,,,,,,,,,,,10924080,02h04m26.8s -59d49m29s,1.73,0.9999,0.382,High-Tension,B/V (Violet),CALCIUM,,,5942308,07h20m45.4s +04d37m46s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13431438,20h45m33.1s -13d27m23s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3321000,11h39m24.0s +24d14m36s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2606221,07h35m48.3s +26d43m39s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9212375,11h54m00.5s -08d50m50s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,9108696,13h25m13.1s -45d16m38s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11675585,08h42m17.5s +24d21m55s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,15897993,14h00m54.8s -27d32m52s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2595836,18h44m40.1s +66d52m01s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,11004348,18h16m42.4s -60d01m29s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5995819,06h42m07.6s +08d36m43s,0.96,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,13464883,13h49m48.0s +02d02m00s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,PULL Matches,,,,,,,,,,,2622943,14h40m53.8s +31d59m13s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9259197,14h29m57.6s +03d56m19s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,9152174,10h58m56.5s -18d05m28s,2.11,0.9999,0.465,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,11735786,07h42m29.0s +09d47m01s,0.69,0.9681,0.162,Ghost,Radio / CMB,DARK MATTER,,,15978261,06h02m12.1s -27d41m08s,1.45,0.8432,0.45,Collapse,X-Ray / Gamma,SINGULARITY,
,2880117,16h23m37.6s +67d05m50s,0.4,0.7625,0.152,Collapse,X-Ray / Gamma,SINGULARITY,,,,11111371,15h55m02.3s -67d00m45s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6009197,12h28m17.6s -17d15m29s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13531773,19h04m47.5s +10d16m36s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1023341,20h07m44.2s +23d13m12s,2.88,0.9999,0.633,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2639666,08h08m14.7s +39d54m06s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9352843,15h35m22.3s +14d59m23s,6.42,0.8735,1.851,Collapse,X-Ray / Gamma,SINGULARITY,,,9326087,05h01m06.0s -44d15m15s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11826087,10h47m38.6s +04d10m04s,0.99,0.9999,0.219,Forming,K-Band (IR),PROTO-MATTER,,,16138796,14h05m14.6s -27d57m24s,1.12,0.9999,0.247,Forming,K-Band (IR),PROTO-MATTER,
,3749682,20h46m10.8s +60d28m29s,0.69,0.8813,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,,11191639,07h53m34.4s -66d59m36s,1.09,0.9999,0.24,Forming,K-Band (IR),PROTO-MATTER,,,6022575,23h36m45.5s +04d34m56s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13565217,22h57m00.8s -05d25m18s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1725682,14h47m39.0s +36d09m59s,2.02,0.9999,0.444,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2648027,12h45m22.9s +38d49m03s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9399666,05h41m10.1s +02d03m16s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9369565,04h12m00.6s -14d53m01s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11856187,05h06m52.1s +09d28m29s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,16339465,04h52m49.5s -28d17m16s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4084130,17h10m50.2s +66d50m20s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,,11352174,15h50m32.4s -66d56m40s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6102843,15h53m07.1s +04d31m43s,0.62,0.9442,0.154,Ghost,Radio / CMB,DARK MATTER,,,13698997,08h31m48.4s +14d23m13s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2127020,23h46m26.0s +38d13m15s,3.06,0.9999,0.674,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2664749,12h15m22.4s +30d58m24s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,9446488,11h14m06.4s -10d14m45s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9391304,15h49m42.1s -25d30m52s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,11886288,20h49m48.4s +30d09m33s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,16419732,21h06m39.8s -28d25m03s,0.64,0.9246,0.166,Ghost,Radio / CMB,DARK MATTER,
,4251355,03h37m04.8s +73d08m04s,0.48,0.7962,0.165,Collapse,X-Ray / Gamma,SINGULARITY,,,,11378930,05h08m00.2s -39d54m39s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6129599,11h21m51.9s -17d39m50s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13799331,19h04m26.2s -17d43m54s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2428023,05h58m48.6s +16d09m59s,2.31,0.9999,0.508,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2673110,14h01m12.4s +55d02m43s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9469900,02h11m44.3s -11d54m21s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9413043,03h27m44.4s -43d30m30s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11946488,20h34m29.7s +04d07m11s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,PULL Matches,,,,,,,,,
,4468746,17h10m18.1s +70d39m13s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,,11459197,21h22m41.7s -39d43m39s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6156355,14h37m18.2s +09d15m44s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13832776,04h37m46.3s -13d16m32s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2729027,06h05m15.3s +41d23m30s,2.47,0.9999,0.544,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2681472,20h20m45.1s +25d53m56s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9586957,12h32m20.4s +16d07m29s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,9456522,02h41m21.9s -23d11m40s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12127090,21h26m38.3s +30d14m29s,1.65,0.9999,0.362,High-Tension,B/V (Violet),CALCIUM,,,#N/A,,,,,,,,
,4485468,01h17m43.8s +66d29m35s,0.22,0.5864,0.144,Collapse,X-Ray / Gamma,SINGULARITY,,,,11512709,23h47m25.9s -66d52m50s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6196488,20h16m21.3s +09d25m38s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13966555,07h54m54.3s -06d26m20s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Mode Matches,,,,,,,,,,,2740000,02h04m35.0s +42d57m18s,0.36,0.6614,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,9680602,10h19m05.4s +02d35m30s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9586957,23h04m35.2s -16d15m48s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,12217391,08h46m20.7s +08d31m38s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Mode Matches,,,,,,,,,
