SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,03h55m10.8s -16d52m59s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,,16000,00h20m26.2s +10d13m32s,0.67,0.8495,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h45m06.8s +46d11m08s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h13m02.0s +22d51m40s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h22m27.5s -38d31m10s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h58m30.2s +22d56m24s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h04m21.6s +09d50m37s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h14m46.2s +29d36m18s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h41m00.2s -28d53m37s,1.33,0.7702,0.495,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,13h24m14.1s +00d34m30s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h54m32.2s -16d50m05s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h21m23.9s +10d12m56s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,7300,02h45m51.4s +46d13m59s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h12m27.4s +22d51m52s,2.11,0.7215,0.893,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h19m22.5s -38d22m57s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h59m31.2s +23d02m12s,5.56,0.9999,1.224,Fuel,UV / Lyman,HYDROGEN,,,18000,03h04m06.0s +09d51m50s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h15m45.1s +29d35m08s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h43m21.1s -28d45m09s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h25m13.9s +00d37m31s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h51m19.0s -16d35m37s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h27m09.9s +10d09m23s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h46m36.0s +46d16m50s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h11m52.8s +22d52m04s,2.11,0.7215,0.893,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h18m45.5s -38d21m18s,1.61,0.9161,0.423,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,800,07h59m43.3s +23d03m22s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h03m50.4s +09d53m04s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h17m43.0s +29d32m49s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,11000,01h46m28.8s -28d33m53s,2.01,0.9999,0.441,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28000,13h26m13.7s +00d40m31s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,
,26000,03h50m40.3s -16d32m43s,0.73,0.8829,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,00h28m07.6s +10d08m48s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h48m05.3s +46d22m31s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h11m18.2s +22d52m17s,0.86,0.8189,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h18m08.4s -38d19m39s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h59m55.5s +23d04m32s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h02m01.2s +10d01m38s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h18m41.9s +29d31m39s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,11000,01h48m49.7s -28d25m25s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h27m13.5s +00d43m32s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,
,26000,03h49m23.0s -16d26m56s,0.83,0.9999,0.182,Forming,K-Band (IR),PROTO-MATTER,,,,16000,00h29m05.3s +10d08m12s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h48m49.9s +46d25m22s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h10m43.5s +22d52m29s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h17m31.4s -38d18m00s,1.41,0.882,0.4,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h01m08.5s +23d11m30s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h01m45.6s +10d02m52s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h20m39.8s +29d29m20s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h52m44.4s -28d11m19s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h28m13.3s +00d46m32s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,
,26000,03h46m09.5s -16d12m28s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h31m00.6s +10d07m01s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,7300,02h49m34.5s +46d28m12s,0.96,0.7101,0.42,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h10m08.9s +22d52m42s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h16m17.4s -38d14m43s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h01m20.7s +23d12m39s,0.86,0.8574,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h01m30.0s +10d04m05s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h21m38.7s +29d28m10s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h53m31.4s -28d08m30s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h34m12.2s -01d04m35s,1.57,0.9999,0.346,Stable,V-Band (Green),MAGNESIUM,
,26000,03h45m30.8s -16d09m34s,0.43,0.7714,0.16,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,00h38m42.0s +10d02m17s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,7300,02h51m03.7s +46d33m54s,0.99,0.9604,0.237,Forming,K-Band (IR),PROTO-MATTER,,,6500,06h08m59.7s +22d53m07s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,930,06h15m03.3s -38d11m25s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h01m32.8s +23d13m49s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h01m14.4s +10d05m19s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h23m36.6s +29d25m51s,6.89,0.9999,1.517,Fuel,UV / Lyman,HYDROGEN,,,11000,01h54m18.4s -28d05m41s,1.55,0.9999,0.342,Stable,V-Band (Green),MAGNESIUM,,,28000,13h38m11.4s -01d16m36s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,
,26000,03h42m55.9s -15d57m60s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,,16000,00h39m39.7s +10d01m42s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,7300,02h52m32.9s +46d39m35s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h08m25.0s +22d53m19s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,930,06h14m26.3s -38d09m46s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,800,08h02m21.4s +23d18m27s,1.18,0.8178,0.388,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h00m58.8s +10d06m32s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h33m26.0s +29d14m14s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,11000,01h59m47.1s -27d45m57s,1.04,0.8759,0.3,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,13h39m11.2s -01d19m37s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,
,26000,03h42m17.2s -15d55m06s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h40m37.4s +10d01m06s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,7300,02h53m17.5s +46d42m25s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h07m50.4s +22d53m31s,0.65,0.9624,0.154,Ghost,Radio / CMB,DARK MATTER,,,930,06h13m12.2s -38d06m29s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h02m33.5s +23d19m37s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h00m43.2s +10d07m46s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h37m21.7s +29d09m35s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h00m34.1s -27d43m08s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h40m11.0s -01d22m37s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,
,26000,03h40m20.9s -15d46m25s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h50m14.1s +09d55m11s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h54m02.1s +46d45m16s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h07m15.8s +22d53m44s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h12m35.2s -38d04m50s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,800,08h03m34.1s +23d25m25s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h58m54.1s +10d16m20s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h40m18.5s +29d06m06s,2.48,0.8831,0.699,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h01m21.1s -27d40m19s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h44m10.3s -01d34m39s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,
,26000,03h36m28.2s -15d29m04s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,,16000,00h51m11.7s +09d54m36s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h58m29.7s +47d02m20s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,6500,06h06m41.2s +22d53m56s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h10m07.0s -37d58m14s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h03m58.3s +23d27m44s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h58m38.6s +10d17m33s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h41m17.5s +29d04m56s,0.5,0.841,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h02m08.1s -27d37m29s,1.9,0.9999,0.418,High-Tension,B/V (Violet),CALCIUM,,,28000,13h53m08.5s -02d01m42s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h34m31.8s -15d20m23s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h52m09.4s +09d54m00s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h05m55.5s +47d30m46s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h03m48.1s +22d54m59s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h09m30.0s -37d56m36s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h04m22.5s +23d30m03s,1.96,0.8375,0.615,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h58m23.0s +10d18m47s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h42m16.4s +29d03m47s,0.5,0.841,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h03m42.0s -27d31m51s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h54m08.4s -02d04m43s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h31m17.6s -15d05m55s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h56m00.1s +09d51m38s,0.75,0.9999,0.165,Ghost,Radio / CMB,DARK MATTER,,,7300,03h06m40.1s +47d33m37s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h03m13.5s +22d55m11s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h08m15.8s -37d53m18s,1.91,0.7778,0.695,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h04m34.6s +23d31m13s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,18000,02h56m02.8s +10d29m48s,0.91,0.9999,0.2,Forming,K-Band (IR),PROTO-MATTER,,,7800,04h43m15.3s +29d02m37s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,11000,02h08m23.9s -27d14m56s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h55m08.2s -02d07m43s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h30m38.7s -15d03m01s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,,16000,00h56m57.7s +09d51m03s,0.75,0.9999,0.165,Ghost,Radio / CMB,DARK MATTER,,,7300,03h11m52.2s +47d53m31s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h02m38.9s +22d55m24s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h07m01.7s -37d50m00s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h04m58.8s +23d33m32s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h55m47.2s +10d31m02s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h47m11.1s +28d57m58s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h09m57.9s -27d09m18s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,28000,13h56m08.0s -02d10m44s,0.7,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,
,26000,03h29m59.9s -15d00m08s,0.94,0.8726,0.271,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,00h57m55.4s +09d50m27s,0.75,0.9999,0.165,Ghost,Radio / CMB,DARK MATTER,,,7300,03h12m36.7s +47d56m22s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h02m04.3s +22d55m36s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h06m24.6s -37d48m21s,0.88,0.9024,0.237,Forming,K-Band (IR),PROTO-MATTER,,,800,08h05m35.0s +23d37m00s,2.75,0.9999,0.604,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,18000,02h55m31.6s +10d32m15s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h48m10.0s +28d56m48s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h15m26.9s -26d49m34s,1.06,0.8352,0.333,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,13h57m07.8s -02d13m44s,0.7,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,
,26000,03h23m30.9s -14d31m12s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,,16000,00h58m53.1s +09d49m52s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h13m21.3s +47d59m13s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h01m29.7s +22d55m48s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h05m47.5s -37d46m43s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h06m59.4s +23d45m07s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h55m16.0s +10d33m29s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h49m08.9s +28d55m39s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h17m00.9s -26d43m56s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h58m07.6s -02d16m45s,0.7,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,
,26000,03h20m55.2s -14d19m38s,0.42,0.8305,0.135,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,00h59m50.7s +09d49m16s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h20m47.0s +48d27m39s,0.9,0.9999,0.197,Forming,K-Band (IR),PROTO-MATTER,,,6500,06h00m55.1s +22d56m01s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h05m10.5s -37d45m04s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h07m11.4s +23d46m16s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h55m00.5s +10d34m42s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h50m07.9s +28d54m29s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,11000,02h17m47.9s -26d41m06s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h04m06.4s -02d34m47s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,
,26000,03h19m37.3s -14d13m51s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h00m48.4s +09d48m41s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h21m31.5s +48d30m30s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h59m11.3s +22d56m38s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h02m05.0s -37d36m49s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h07m23.5s +23d47m26s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h54m44.9s +10d35m55s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h51m06.8s +28d53m19s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,11000,02h18m34.9s -26d38m17s,0.51,0.741,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,14h14m04.5s -03d04m51s,1.16,0.9999,0.255,Forming,K-Band (IR),PROTO-MATTER,
,26000,03h18m19.3s -14d08m04s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h04m39.0s +09d46m19s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h22m16.1s +48d33m20s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h55m43.7s +22d57m53s,2.03,0.9999,0.446,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,930,06h00m13.7s -37d31m53s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,800,08h07m35.5s +23d48m35s,1.59,0.9999,0.349,Stable,V-Band (Green),MAGNESIUM,,,18000,02h54m29.3s +10d37m09s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h53m04.6s +28d50m60s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h21m42.9s -26d27m01s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h24m02.5s -03d34m55s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,
,26000,03h17m40.4s -14d05m11s,1.19,0.8796,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h05m36.7s +09d45m44s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h28m12.5s +48d56m06s,1.95,0.9999,0.429,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6500,05h52m16.1s +22d59m08s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h56m31.0s -37d21m59s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h07m47.5s +23d49m45s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h53m27.0s +10d42m03s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,7800,04h54m03.6s +28d49m50s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h22m30.0s -26d24m12s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,14h34m00.6s -04d04m59s,2.31,0.9999,0.507,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,03h17m01.4s -14d02m17s,2.05,0.8875,0.571,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h06m34.4s +09d45m08s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h30m26.2s +49d04m38s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h49m57.8s +22d59m58s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h55m16.8s -37d18m41s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h08m11.6s +23d52m04s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h53m11.5s +10d43m16s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,7800,04h55m02.5s +28d48m40s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h23m17.0s -26d21m23s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,28000,14h35m00.4s -04d07m60s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h16m22.4s -13d59m24s,0.66,0.8613,0.197,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h07m32.0s +09d44m33s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,03h31m10.7s +49d07m28s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,05h49m23.2s +23d00m11s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,05h54m02.5s -37d15m23s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,08h08m35.6s +23d54m23s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,02h52m55.9s +10d44m30s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,7800,04h57m59.3s +28d45m11s,0.58,0.833,0.184,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h25m38.0s -26d12m55s,2.64,0.9999,0.581,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28000,14h36m00.2s -04d11m00s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
