SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1366,06h45m48.3s -17d52m33s,0.71,0.8401,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,,7064,17h40m24.8s +01d04m11s,0.37,0.6813,0.176,Collapse,X-Ray / Gamma,SINGULARITY,,,8669,13h38m34.6s -69d11m30s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,4205,15h36m06.9s -40d08m26s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5230,21h01m15.7s -34d05m55s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,18h45m42.9s -09d31m57s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160482,18h45m17.3s -74d41m53s,6.22,0.9999,1.369,Fuel,UV / Lyman,HYDROGEN,,,2316,16h52m12.5s +29d03m11s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5293,09h52m07.0s -07d25m58s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5567,02h14m52.8s -05d08m55s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,
,1366,06h29m44.4s -18d10m55s,0.52,0.9162,0.136,Ghost,Radio / CMB,DARK MATTER,,,,7065,18h24m06.3s +01d36m43s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8670,14h20m23.5s -69d45m39s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4207,16h47m52.7s -39d42m39s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,5231,20h38m11.3s -33d58m22s,1.01,0.9999,0.222,Forming,K-Band (IR),PROTO-MATTER,,,473,18h52m30.2s -09d27m11s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160486,16h25m52.2s -78d32m33s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2316,16h45m16.8s +28d57m28s,0.67,0.9377,0.168,Ghost,Radio / CMB,DARK MATTER,,,5294,09h06m52.3s -08d01m50s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5567,02h21m04.9s -04d54m00s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1366,06h24m18.7s -18d17m01s,2.09,0.9999,0.46,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,7066,18h36m24.2s +01d44m07s,2.23,0.9999,0.49,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8671,15h03m33.9s -70d17m45s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,4207,17h31m23.1s -39d24m35s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5231,20h06m42.4s -33d46m42s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,18h59m18.8s -09d22m29s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,160494,09h23m17.2s -83d09m48s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2317,16h40m46.0s +28d52m52s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5294,08h44m01.5s -08d19m05s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5567,02h26m31.6s -04d39m17s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1367,05h45m26.0s -18d59m28s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7066,19h02m28.9s +01d58m01s,1.32,0.9798,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8675,18h54m33.1s -72d39m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4208,18h18m49.1s -39d03m04s,0.52,0.9152,0.136,Ghost,Radio / CMB,DARK MATTER,,,5232,19h18m42.3s -33d25m48s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,19h09m33.6s -09d15m35s,0.89,0.9999,0.196,Forming,K-Band (IR),PROTO-MATTER,,,160496,08h46m60.0s -83d28m57s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2317,16h38m42.9s +28d49m23s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5294,08h21m10.0s -08d35m51s,1.22,0.9711,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5567,02h31m11.6s -04d24m46s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1367,05h39m46.3s -19d05m29s,0.85,0.8543,0.256,Collapse,X-Ray / Gamma,SINGULARITY,,,,7067,20h30m35.7s +02d32m08s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8676,19h19m38.0s -72d54m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4209,18h43m42.1s -38d51m03s,0.76,0.8902,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,5233,18h38m48.7s -33d05m14s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,19h33m33.8s -09d00m09s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160498,08h59m21.1s -83d25m57s,0.43,0.7568,0.166,Collapse,X-Ray / Gamma,SINGULARITY,,,2317,16h39m09.6s +28d47m01s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5295,07h35m49.4s -09d07m53s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5568,02h35m04.0s -04d10m27s,1.98,0.9999,0.435,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,1367,05h28m22.8s -19d17m30s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,,7068,21h02m26.5s +02d40m53s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8677,19h38m51.1s -73d05m37s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,4209,19h35m08.4s -38d24m28s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5233,18h23m04.2s -32d56m11s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,19h43m51.6s -08d53m50s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,160502,11h35m53.6s -82d13m45s,2.91,0.9999,0.641,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2319,16h55m28.6s +28d46m47s,0.62,0.9262,0.16,Ghost,Radio / CMB,DARK MATTER,,,5297,05h30m09.4s -10d30m50s,1.18,0.9482,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5569,02h40m57.5s -02d49m17s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1367,05h22m39.3s -19d23m28s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7068,21h35m05.1s +02d48m15s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8678,19h57m51.7s -73d19m17s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Filter for Proto-Matter,,,,,,,,,,,5233,17h59m50.5s -32d41m47s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,20h00m59.4s -08d43m44s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160510,18h40m48.4s -75d57m42s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2322,18h54m01.9s +29d26m49s,1.42,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5298,04h54m19.7s -10d53m45s,0.56,0.8104,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,5570,02h27m55.9s -02d00m14s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1367,05h16m54.7s -19d29m26s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7069,21h51m37.0s +02d51m25s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8679,19h57m06.9s -73d21m29s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4104,19h16m18.7s -24d22m00s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,5234,17h37m13.6s -32d26m20s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,475,20h18m02.0s -08d34m09s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160514,18h48m32.7s -71d30m34s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2323,19h44m34.7s +29d48m42s,0.87,0.8523,0.265,Collapse,X-Ray / Gamma,SINGULARITY,,,5299,03h44m34.2s -11d39m44s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5571,02h16m21.7s -01d37m24s,1.18,0.8241,0.383,Collapse,X-Ray / Gamma,SINGULARITY,
,1368,05h11m09.1s -19d35m24s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7069,22h24m55.2s +02d56m42s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,8684,17h37m24.2s -72d28m57s,0.98,0.8628,0.288,Collapse,X-Ray / Gamma,SINGULARITY,,,4122,22h02m29.1s -29d21m23s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,5234,17h22m34.3s -32d15m28s,0.92,0.7864,0.326,Collapse,X-Ray / Gamma,SINGULARITY,,,475,20h21m25.6s -08d32m18s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,160522,11h45m39.3s -62d09m56s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2326,23h09m42.3s +31d40m49s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5300,03h34m35.1s -11d46m54s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5571,02h09m20.4s -01d26m26s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1368,04h47m58.7s -19d59m03s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7070,23h14m55.2s +03d01m55s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8685,16h56m23.9s -72d09m19s,2.49,0.9999,0.547,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4129,20h54m46.8s -29d41m08s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,5235,16h47m46.3s -31d46m19s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,475,20h28m11.6s -08d28m40s,1.02,0.8528,0.308,Collapse,X-Ray / Gamma,SINGULARITY,,,160532,10h19m07.2s -54d26m27s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2326,23h39m40.8s +32d01m10s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Filter for Proto-Matter,,,,,,,,,,,5572,01h33m21.1s +00d45m40s,1.16,0.9019,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
Filter for Proto-Matter,,,,,,,,,,,,7070,23h31m27.1s +03d02m56s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8686,15h26m41.7s -71d21m07s,0.76,0.8497,0.231,Collapse,X-Ray / Gamma,SINGULARITY,,,4137,17h42m19.0s -27d42m16s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,5236,15h59m03.8s -30d53m50s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,Filter for Proto-Matter,,,,,,,,,,,160540,18h09m43.1s -54d33m45s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2328,01h57m18.9s +33d57m59s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5210,07h52m39.8s +03d11m28s,0.83,0.9999,0.182,Forming,K-Band (IR),PROTO-MATTER,,,5572,01h10m52.8s +00d27m15s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1349,05h27m25.0s -03d04m44s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,Filter for Proto-Matter,,,,,,,,,,,8688,13h53m47.4s -70d21m30s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4144,18h32m20.0s -23d37m16s,1.2,0.9999,0.264,Forming,K-Band (IR),PROTO-MATTER,,,5236,15h53m41.7s -30d46m47s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,460,15h55m06.7s -23d17m47s,0.87,0.9999,0.192,Forming,K-Band (IR),PROTO-MATTER,,,160542,19h12m18.5s -55d33m44s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,,,2329,02h20m53.4s +34d24m12s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5247,09h24m13.6s +08d02m04s,1.03,0.9999,0.226,Forming,K-Band (IR),PROTO-MATTER,,,5573,00h58m36.4s +00d18m33s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,
,1352,06h52m08.5s -03d50m26s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,7016,23h39m47.8s -16d39m37s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,8688,13h08m52.9s -69d47m38s,0.92,0.586,0.587,Collapse,X-Ray / Gamma,SINGULARITY,,,4148,20h41m52.7s -21d08m51s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,5236,15h48m30.3s -30d39m37s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,461,15h43m11.2s -22d54m25s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,160548,17h18m01.8s -60d33m32s,0.73,0.9533,0.177,Ghost,Radio / CMB,DARK MATTER,,,2330,03h20m14.6s +35d48m03s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5250,11h31m57.4s +10d27m38s,0.97,0.9999,0.213,Forming,K-Band (IR),PROTO-MATTER,,,5573,00h45m40.6s +00d10m12s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1354,07h50m05.9s -04d38m07s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,,7021,22h01m02.6s -18d59m27s,0.91,0.9999,0.2,Forming,K-Band (IR),PROTO-MATTER,,,8689,12h26m26.7s -69d11m12s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4152,22h46m33.8s -18d40m53s,1.11,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,5237,15h29m37.1s -30d09m52s,4.13,0.8986,1.126,Collapse,X-Ray / Gamma,SINGULARITY,,,462,15h05m35.2s -21d34m42s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,160562,09h11m18.3s -77d27m53s,2.91,0.9999,0.64,Life-Stable,B-Band (Blue),HELIUM/CARBON,,Filter for Proto-Matter,,,,,,,,,,,5257,12h31m22.9s +14d35m25s,1.08,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,5573,00h17m58.1s +00d05m25s,0.39,0.6266,0.219,Collapse,X-Ray / Gamma,SINGULARITY,
,1354,08h20m02.6s -05d08m02s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,,7030,18h43m58.0s -22d19m46s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,8692,10h43m48.8s -67d07m51s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4166,17h28m25.1s -13d47m56s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,,,5237,15h25m23.3s -30d02m10s,0.86,0.8555,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,464,14h22m50.4s -19d30m17s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,160564,10h46m58.2s -79d34m44s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2204,23h05m51.6s +46d36m13s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,5260,10h42m19.0s +15d53m31s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,5574,00h03m15.2s +00d12m41s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1355,08h49m13.7s -05d41m53s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,,7033,19h15m24.5s -22d31m17s,0.91,0.9999,0.201,Forming,K-Band (IR),PROTO-MATTER,,,8692,10h20m38.1s -66d22m31s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,4185,00h44m47.2s -26d55m25s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,5237,15h13m57.0s -29d38m26s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465,14h15m32.2s -18d56m46s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,160572,18h50m47.9s -85d00m23s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2222,20h17m31.0s +43d15m00s,0.95,0.9731,0.22,Forming,K-Band (IR),PROTO-MATTER,,Mode Matches,,,,,,,,,,,5574,23h48m00.6s +00d19m35s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1358,10h01m05.2s -07d45m26s,1,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,,,,7035,20h25m50.8s -22d21m32s,0.9,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,8693,10h04m04.0s -65d35m20s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4188,00h42m13.4s -30d54m15s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,5237,15h07m24.4s -29d22m05s,0.78,0.8337,0.247,Collapse,X-Ray / Gamma,SINGULARITY,,,467,14h12m24.0s -16d01m33s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,160576,19h32m47.8s -85d24m54s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2235,23h51m33.5s +38d33m09s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,#REF!,,,,,,,,,,,5574,23h16m05.0s +00d32m14s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1358,10h16m13.7s -08d33m17s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,,7037,22h02m39.4s -21d48m53s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,,,8700,12h48m35.6s -57d37m34s,1.71,0.9999,0.377,High-Tension,B/V (Violet),CALCIUM,,,4192,22h12m17.4s -34d34m51s,0.87,0.9999,0.192,Forming,K-Band (IR),PROTO-MATTER,,,5238,14h53m17.8s -28d30m35s,0.4,0.6437,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,468,14h29m59.3s -14d50m37s,0.91,0.9398,0.226,Forming,K-Band (IR),PROTO-MATTER,,,160582,14h35m55.8s -82d55m03s,3.38,0.9999,0.743,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2261,21h24m04.4s +46d21m27s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,Filter for Proto-Matter,,,,,,,,,
,1360,10h27m47.5s -10d17m26s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,,7040,23h45m44.9s -20d52m42s,0.98,0.9999,0.215,Forming,K-Band (IR),PROTO-MATTER,,,8701,13h34m23.4s -56d42m13s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4199,15h19m37.0s -39d35m42s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,5238,14h51m46.9s -28d21m39s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,470,15h18m14.7s -13d06m60s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,160586,10h11m49.5s -79d23m57s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2265,00h15m08.5s +49d30m16s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5510,22h10m02.4s -13d56m57s,0.83,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,
,1366,07h16m49.8s -17d15m39s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,,7049,00h53m11.4s -13d37m34s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,8705,17h37m14.7s -52d14m26s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4207,16h47m52.7s -39d42m39s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,5239,14h49m29.7s -28d03m30s,2.92,0.8877,0.815,Collapse,X-Ray / Gamma,SINGULARITY,,,471,16h04m13.1s -12d01m33s,1.14,0.9999,0.251,Forming,K-Band (IR),PROTO-MATTER,,,160588,08h42m23.1s -77d12m00s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2291,20h19m31.4s +50d05m36s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5515,20h29m29.2s -15d14m13s,1.03,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,
Mode Matches,,,,,,,,,,,,7052,23h06m15.3s -11d11m39s,1.03,0.9999,0.226,Forming,K-Band (IR),PROTO-MATTER,,,8708,20h00m29.5s -49d03m29s,2.2,0.9999,0.484,Life-Stable,B-Band (Blue),HELIUM/CARBON,,Mode Matches,,,,,,,,,,,5239,14h48m43.7s -27d54m17s,0.57,0.7678,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,473,18h02m20.5s -10d04m41s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,Filter for Proto-Matter,,,,,,,,,,,2296,00h12m04.5s +46d01m15s,0.88,0.9999,0.195,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5518,19h31m46.7s -16d14m32s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,
,1347,05h10m18.8s -03d04m56s,0.7,0.8686,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,,7063,16h59m37.7s +00d17m21s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,8709,20h34m29.8s -47d40m07s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4103,19h29m58.3s -24d09m35s,0.79,0.8981,0.216,Collapse,X-Ray / Gamma,SINGULARITY,,,5239,14h47m57.0s -27d26m03s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,19h09m33.6s -09d15m35s,0.89,0.9999,0.196,Forming,K-Band (IR),PROTO-MATTER,,,160100,15h11m33.2s -73d28m23s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,2300,02h50m18.2s +41d24m19s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5540,00h07m06.4s -25d54m24s,1.27,0.9999,0.279,Forming,K-Band (IR),PROTO-MATTER,
,1349,05h27m25.0s -03d04m44s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,Mode Matches,,,,,,,,,,,8710,20h40m07.5s -47d02m04s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4122,22h02m29.1s -29d21m23s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,5240,14h51m49.6s -26d37m10s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,19h43m51.6s -08d53m50s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,160120,11h45m57.3s -70d09m18s,0.68,0.9084,0.181,Forming,K-Band (IR),PROTO-MATTER,,,2304,02h11m57.1s +36d48m17s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5543,22h48m10.3s -25d40m37s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,
,1351,06h16m20.3s -03d26m55s,0.59,0.7893,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,,7010,23h11m14.7s -14d03m05s,0.68,0.7988,0.234,Collapse,X-Ray / Gamma,SINGULARITY,,,8714,19h12m55.9s -44d34m36s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4124,22h10m34.5s -29d37m38s,0.6,0.8135,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for Proto-Matter,,,,,,,,,,Mode Matches,,,,,,,,,,,160221,13h28m36.5s -61d35m18s,1.07,0.9999,0.236,Forming,K-Band (IR),PROTO-MATTER,,Mode Matches,,,,,,,,,,,,,,,,,,,,,5553,16h36m44.5s -20d08m27s,1.05,0.9999,0.231,Forming,K-Band (IR),PROTO-MATTER,
